ID,x,y
0,-122.446803,37.786429
1,-122.429091,37.78862
2,-122.466558,37.727249
3,-122.430903,37.791072
4,-122.416309,37.785156
5,-122.425259,37.804297
6,-122.419468,37.784513
7,-122.422468,37.774
8,-122.426149,37.800631
9,-122.44062,37.771531
10,-122.450248,37.714889
11,-122.405054,37.766899
12,-122.464073,37.710433
13,-122.419664,37.78604
14,-122.419339,37.775452
15,-122.447174,37.724384
16,-122.447883,37.72399
17,-122.39258,37.782386
18,-122.426132,37.769882
19,-122.404051,37.790617
20,-122.402771,37.788307
21,-122.424586,37.768693
22,-122.405906,37.778791
23,-122.417393,37.786433
24,-122.395995,37.793521
25,-122.44705,37.789128
26,-122.458264,37.781369
27,-122.415721,37.768776
28,-122.420012,37.790802
29,-122.434987,37.764136
30,-122.442581,37.753212
31,-122.399081,37.717387
32,-122.424258,37.791091
33,-122.435395,37.775306
34,-122.40426,37.788057
35,-122.398553,37.7869
36,-122.418943,37.78986
37,-122.422062,37.788653
38,-122.424498,37.75032
39,-122.439096,37.7582
40,-122.446797,37.787277
41,-122.406346,37.785877
42,-122.401834,37.76752
43,-122.454899,37.781538
44,-122.405131,37.769087
45,-122.405126,37.765079
46,-122.453526,37.771458
47,-122.424212,37.765244
48,-122.394789,37.764233
49,-122.465925,37.710054
50,-122.416377,37.784295
51,-122.440078,37.793644
52,-122.427589,37.785869
53,-122.421672,37.778065
54,-122.448024,37.722947
55,-122.432527,37.757946
56,-122.426432,37.801087
57,-122.432492,37.764301
58,-122.447163,37.782901
59,-122.439216,37.790605
60,-122.424922,37.750221
61,-122.430837,37.766241
62,-122.403312,37.795597
63,-122.399335,37.792848
64,-122.441964,37.78794
65,-122.433009,37.803165
66,-122.404144,37.747375
67,-122.429295,37.800678
68,-122.402631,37.770003
69,-122.415132,37.788583
70,-122.430865,37.73223
71,-122.438586,37.760703
72,-122.419393,37.782136
73,-122.435822,37.78959
74,-122.416514,37.755977
75,-122.424158,37.795646
76,-122.426243,37.801412
77,-122.420754,37.753763
78,-122.419786,37.765049
79,-122.413883,37.774488
80,-122.423014,37.776568
81,-122.434232,37.7993
82,-122.442405,37.799043
83,-122.423875,37.766413
84,-122.420188,37.77096
85,-122.41158,37.748217
86,-122.428946,37.767742
87,-122.409337,37.791027
88,-122.485102,37.717069
89,-122.416978,37.748055
90,-122.441075,37.792166
91,-122.394207,37.787453
92,-122.417458,37.766793
93,-122.396311,37.785307
94,-122.447502,37.76174
95,-122.402355,37.798465
96,-122.40268,37.804798
97,-122.404474,37.791972
98,-122.422859,37.792161
99,-122.427598,37.795273
100,-122.409932,37.79122
101,-122.422242,37.770102
102,-122.423371,37.773975
103,-122.391519,37.778032
104,-122.448014,37.761757
105,-122.406971,37.798084
106,-122.448818,37.733274
107,-122.397464,37.79349
108,-122.397071,37.77788
109,-122.417124,37.763559
110,-122.389666,37.771486
111,-122.416971,37.780384
112,-122.42527,37.761448
113,-122.435108,37.762754
114,-122.39865,37.776439
115,-122.397834,37.799286
116,-122.430906,37.777773
117,-122.410871,37.789929
118,-122.404504,37.749004
119,-122.429564,37.767127
120,-122.434871,37.758602
121,-122.42402,37.790332
122,-122.465105,37.761162
123,-122.40843,37.785364
124,-122.422007,37.771601
125,-122.464828,37.78089
126,-122.437003,37.761929
127,-122.43053,37.780699
128,-122.405897,37.791692
129,-122.435925,37.800917
130,-122.439262,37.754243
131,-122.416838,37.79481
132,-122.424429,37.769744
133,-122.428296,37.768022
134,-122.436359,37.793179
135,-122.404446,37.791169
136,-122.436054,37.786623
137,-122.420066,37.755431
138,-122.437834,37.783753
139,-122.422458,37.7739
140,-122.407055,37.788448
141,-122.418194,37.785212
142,-122.418608,37.788306
143,-122.494964,37.772077
144,-122.390955,37.782624
145,-122.400168,37.78518
146,-122.427819,37.770465
147,-122.425534,37.797786
148,-122.422975,37.785265
149,-122.434721,37.78853
150,-122.43348,37.803094
151,-122.393557,37.766737
152,-122.423387,37.787308
153,-122.42029,37.776303
154,-122.422403,37.77011
155,-122.401769,37.725657
156,-122.42732,37.773351
157,-122.423784,37.78963
158,-122.425059,37.803368
159,-122.511158,37.771795
160,-122.446613,37.761839
161,-122.427699,37.774798
162,-122.395325,37.789249
163,-122.428908,37.787632
164,-122.411113,37.785976
165,-122.429519,37.77514
166,-122.419321,37.79226
167,-122.423617,37.79105
168,-122.406157,37.797943
169,-122.423964,37.795696
170,-122.427926,37.788701
171,-122.402229,37.786222
172,-122.413502,37.769499
173,-122.485154,37.772528
174,-122.417867,37.769023
175,-122.422119,37.773092
176,-122.405961,37.761938
177,-122.423381,37.77883
178,-122.398359,37.787346
179,-122.412737,37.76054
180,-122.399856,37.794215
181,-122.46325,37.777279
182,-122.442799,37.761113
183,-122.420272,37.789749
184,-122.420606,37.789711
185,-122.436946,37.770988
186,-122.406947,37.788573
187,-122.423184,37.770014
188,-122.423112,37.753964
189,-122.391846,37.781596
190,-122.419011,37.790755
191,-122.445858,37.772555
192,-122.409429,37.764423
193,-122.423011,37.76488
194,-122.409662,37.794437
195,-122.41398,37.776884
196,-122.397036,37.790177
197,-122.408486,37.79029
198,-122.403804,37.769959
199,-122.397404,37.787223
200,-122.403784,37.767294
201,-122.418722,37.784101
202,-122.429001,37.766147
203,-122.419903,37.772194
204,-122.413967,37.779495
205,-122.406268,37.743048
206,-122.423142,37.794085
207,-122.407033,37.735899
208,-122.389987,37.791098
209,-122.478618,37.769439
210,-122.414745,37.759349
211,-122.390569,37.792035
212,-122.437187,37.762005
213,-122.398431,37.774458
214,-122.403514,37.798317
215,-122.403655,37.789671
216,-122.413407,37.748356
217,-122.474789,37.780618
218,-122.415253,37.769572
219,-122.438908,37.772315
220,-122.41321,37.774058
221,-122.418829,37.798053
222,-122.418473,37.788098
223,-122.442823,37.805826
224,-122.456166,37.781384
225,-122.423254,37.789323
226,-122.423492,37.796395
227,-122.416227,37.751547
228,-122.421541,37.788596
229,-122.402556,37.779559
230,-122.418928,37.756815
231,-122.417135,37.761038
232,-122.399737,37.784436
233,-122.413126,37.775094
234,-122.42061,37.751769
235,-122.421749,37.779088
236,-122.403935,37.798292
237,-122.423341,37.776639
238,-122.429486,37.74911
239,-122.421151,37.773822
240,-122.394866,37.7081
241,-122.426549,37.742183
242,-122.402089,37.783647
243,-122.427344,37.778309
244,-122.402763,37.79337
245,-122.402646,37.792957
246,-122.403246,37.795404
247,-122.413395,37.765451
248,-122.418861,37.799218
249,-122.427138,37.797305
250,-122.44191,37.795376
251,-122.418576,37.777491
252,-122.420582,37.790578
253,-122.406191,37.782258
254,-122.451187,37.797223
255,-122.395884,37.784862
256,-122.478036,37.767136
257,-122.427072,37.772264
258,-122.435305,37.795176
259,-122.426447,37.764235
260,-122.411262,37.785955
261,-122.406246,37.79138
262,-122.413189,37.770048
263,-122.404481,37.78435
