ID,x,y
2041,-122.439285,37.771057
8180,-122.404414,37.781904
897,-122.403471,37.777091
1922,-122.399069,37.785797
8177,-122.425923,37.791494
1923,-122.398577,37.779287
6125,-122.412766,37.792307
1935,-122.427481,37.774178
8263,-122.433787,37.764169
2983,-122.398039,37.779509
914,-122.395465,37.786479
8257,-122.412608,37.790706
8071,-122.436973,37.772225
5116,-122.422342,37.773536
6131,-122.394718,37.766522
8067,-122.415756,37.763695
925,-122.458738,37.781416
4004,-122.421668,37.762259
2988,-122.404731,37.776869
4000,-122.42108,37.755841
8076,-122.432672,37.764651
1950,-122.422967,37.743046
8279,-122.389017,37.766525
1951,-122.415355,37.784673
6137,-122.399713,37.775927
1946,-122.446642,37.798708
933,-122.435702,37.788673
7056,-122.400757,37.778274
8073,-122.471127,37.784548
5006,-122.393071,37.763123
6020,-122.428707,37.765363
1945,-122.422918,37.776806
7070,-122.423746,37.77156
5002,-122.413769,37.776942
6017,-122.40969,37.748368
9299,-122.425021,37.804038
8283,-122.439207,37.798945
6029,-122.415078,37.779297
936,-122.422631,37.776939
8295,-122.399399,37.796972
9308,-122.440827,37.774627
8090,-122.430155,37.77497
9306,-122.397813,37.792615
9307,-122.408958,37.773547
8089,-122.447194,37.779139
9305,-122.44303,37.751918
8303,-122.437295,37.76136
7083,-122.443773,37.773306
7080,-122.403172,37.780072
8097,-122.433843,37.771712
9313,-122.397906,37.771783
1982,-122.436642,37.770183
8109,-122.426465,37.733652
3140,-122.406388,37.786032
5025,-122.415083,37.762671
8306,-122.476429,37.755018
3139,-122.438181,37.790247
8318,-122.46172,37.785407
2121,-122.414435,37.774117
5034,-122.415664,37.781876
8315,-122.423247,37.766533
3146,-122.447423,37.772909
7097,-122.393482,37.793475
2131,-122.402313,37.781126
3158,-122.424506,37.769735
8125,-122.435085,37.761563
3159,-122.416222,37.790208
9341,-122.460065,37.77744
2141,-122.427511,37.76901
6215,-122.416483,37.803295
5050,-122.408126,37.783972
6064,-122.425711,37.769678
3167,-122.405394,37.766566
8205,-122.416612,37.778474
2148,-122.405079,37.745089
1099,-122.41206,37.789713
8200,-122.440309,37.735008
9230,-122.401013,37.778959
2147,-122.412299,37.780323
9231,-122.40176,37.798581
3161,-122.399066,37.791831
8214,-122.4544,37.766282
6074,-122.42209,37.787495
7234,-122.419744,37.774937
6075,-122.428638,37.796608
8210,-122.417645,37.76983
7233,-122.399505,37.783367
9227,-122.438778,37.799597
7246,-122.428215,37.759507
6230,-122.414974,37.774544
2155,-122.406369,37.806512
89,-122.416978,37.748055
102,-122.423371,37.773975
1119,-122.440754,37.790094
7243,-122.422235,37.770734
3180,-122.440916,37.758093
5188,-122.405229,37.791534
96,-122.40268,37.804798
2162,-122.404363,37.792688
7253,-122.397196,37.782407
3190,-122.410375,37.80598
4171,-122.393097,37.791945
108,-122.397071,37.77788
109,-122.417124,37.763559
7248,-122.422646,37.783439
2173,-122.423113,37.802444
